c_custkey,c_name,c_address,c_nationkey,c_phone,c_acctbal,c_mktsegment,c_comment
30023,Customer#000030023,NbeL3 TOsHRdaY1kt,18,28-374-219-6895,5299.36,FURNITURE,uriously alongside of the ironic foxes. platelets wake quickly alongside of the ideas. regular platelets
30024,Customer#000030024,vTlt8Yyythp,12,22-479-471-7493,8355.06,FURNITURE,ar deposits. carefully regular asym
30025,Customer#000030025,EyqHunQWIxB,2,12-705-851-3056,6615.97,BUILDING,ctions. furiously pending instructions nag fluffily alongside of the furiously ironic asymptotes. sometim
30026,Customer#000030026,ACVM2YCIo2M5lQCilsQAjPnzQRg 3sbb2DH,13,23-975-469-2604,4699.12,BUILDING, packages are quickly. furiously bold deposits haggle across the blithely quiet packages: f
30027,Customer#000030027,"7yQeGnJdc5ox7DaQP9fIwwdtB7,g61W2Emk7SVP",20,30-825-979-1747,7166.91,AUTOMOBILE,the furiously quick dependencies. blithely ironic accounts wake f
30028,Customer#000030028,IscmupD4vmM 7UU2L5P6VC,8,18-828-627-8573,2347.74,FURNITURE,tions snooze slyly. carefully pending requests alongside of the un
30029,Customer#000030029,SB1Fkjp0cDroLW,11,21-542-246-8330,-554.23,FURNITURE,efully above the ideas. slyly unusual pack
30030,Customer#000030030,FilwuTelSXIdQDB6IuJHPnh1ycr3UWBwmN,2,12-727-883-3689,-16.93,HOUSEHOLD,ular deposits. regular ideas 
30031,Customer#000030031,92q0tI1CPlBRHPFq6NJQN0LBgfEraLF1Ex3y,9,19-608-261-5635,-541.78,HOUSEHOLD,g packages cajole slyly about the qu
30032,Customer#000030032,yrXaPtAx3BtIMDCpA,9,19-346-865-7216,286.35,HOUSEHOLD,ar deposits wake slyly carefully b
30033,Customer#000030033,"4JnttiiZ,b,6KYcHxhuDzU cBpx3JLUcQu",21,31-175-541-4052,3643.99,MACHINERY,ecial dependencies. quickly e
30034,Customer#000030034,"Ks4Nq,FiJiwEkE",20,30-307-879-9205,5590.43,FURNITURE,lent ideas. furiously pending instructions are after the quickly fi
30035,Customer#000030035,TjTlu5iFR3FzKp7vRVnU0,12,22-157-490-2987,5439.02,BUILDING,"ilent, final packages. slyly special asymptotes about the even deposits wake furiously final, "
30036,Customer#000030036,"T,2SNTHhPlicskjkKrS",11,21-963-484-5070,1559.71,MACHINERY, silent foxes sleep quickly into the 
30037,Customer#000030037,"Fu7swRB2LS,tBXD7sbq2CLZMDQu",10,20-666-222-9419,-938.00,BUILDING,. blithely unusual instructions above the slyly unusual deposits wake final tith
30038,Customer#000030038,"17il0HhH6lPxnlgVXJlrQkUsD,Ub",5,15-146-245-4928,6867.44,AUTOMOBILE,ng the blithely regular instructions use fluffily accounts. slyly f
30039,Customer#000030039,"GBZX0S rsdO,FdA8OmmEqbbYIQOv2sypyKjDhrND",8,18-236-558-3207,7035.80,HOUSEHOLD,furiously regular instructions. carefully bold pinto beans integrate furiously among the pe
30040,Customer#000030040,"6mqeshTuDc,e85rmOjQvr",18,28-406-436-7187,9647.39,MACHINERY,"ickly pending packages are across the final, bold theodolites. blithely regular requests a"
30041,Customer#000030041,3ZFn2p7almLwpjejSAg8eHq7YDaiNBmnx0vKeTU,4,14-329-693-1629,1751.61,AUTOMOBILE,es. slyly ironic theodolites promise slyly carefully even excuses. slyly
30042,Customer#000030042,"Qc8vNijuyc6Kl3MHJ,0 qGXv1DTDSHQAGh7Wcpe",8,18-343-611-7627,1246.92,FURNITURE,grate quickly across the slyly bold accounts. 
30043,Customer#000030043,9n7lSqCb0aMFl,4,14-495-777-4716,-50.36,BUILDING, wake along the ironic excuses-- packages across the furiously regular patterns ar
30044,Customer#000030044,"1A6avXyv5mhxcvXaLOg cpF6VeiXBGILjx,9Q",22,32-743-639-5364,9519.11,MACHINERY,alongside of the carefully idle requests. even theodolites haggle fluffily blithely sile
30045,Customer#000030045,MiaPfIr2WaypSWlrpghsaT2ESEQBNWnpgQB5,9,19-384-591-5486,1759.71,MACHINERY, beans sleep blithely along the silent accounts. forges are! slyly even dependencies after the deposits haggl
30046,Customer#000030046,BiqEKCn8Sz39KRyKOIlk5yGLiXJZSI5BlW71T0 K,5,15-704-106-8586,5362.45,HOUSEHOLD, requests wake alongside of the quickly re
30047,Customer#000030047,",EH2 Ky2t0iyI6a6O1wDtXfTNt5azhozsI",4,14-785-290-5675,1717.24,MACHINERY,quickly even deposits haggle against the carefully regular 
30048,Customer#000030048,jGt5cMshPJC oixMZPNyERbShlFT,12,22-111-697-7091,6545.07,FURNITURE,xes affix carefully carefully special accounts. fluffily blithe
30049,Customer#000030049,"Kv7sR2suPhvNhAGIYtyaL6QFxJAXvRz,kw,1",23,33-790-897-9071,951.56,FURNITURE, carefully. furiously pending packages use blithely above the slyly
30050,Customer#000030050,uHFP0GT1T61K7SzAN8gwrhpPISwGoq3WZa7gs2il,2,12-791-726-2889,7804.77,AUTOMOBILE,es cajole quickly ironic requests. ironica
30051,Customer#000030051,KUc7WDrddwRwe2I0uiMz6o3E fkE,13,23-621-304-8486,8836.40,AUTOMOBILE,e blithely slyly unusual foxes; pending platelets ca
30052,Customer#000030052,"yBSuXdwArefgFlJCGabVx,,xar5,GBeZA3",1,11-158-268-2131,417.39,AUTOMOBILE, blithely regular foxes against the even packages cajole carefully even packages. final depo
30053,Customer#000030053,qa zNZiBIpX5Xzld,22,32-908-473-7681,6046.10,MACHINERY,unusual dependencies after the pinto beans cajole bravely upon the iron
30054,Customer#000030054,8q22pDnn6BgkXyh9jBdK3ZG4,24,34-552-638-7932,7796.29,AUTOMOBILE,thely ironic requests sleep blithely furiously regular pinto bean
30055,Customer#000030055,LrJm9RBQWJB8EVzzUe8Y9dD0Y3IgZKYdAk7UpMUI,2,12-449-784-7454,9364.32,HOUSEHOLD,dolites sleep carefully quickly ironic theodolites. express ideas afte
30056,Customer#000030056,YF2qDu5rOen SdyCjF,10,20-572-689-1821,7184.41,BUILDING,"e the always bold excuses. dependencies among the final, brave deposits use according to the blithely eve"
30057,Customer#000030057,oiC07q 6dNg80TeGUNEkZJ3RG,11,21-489-414-7325,-600.11,FURNITURE,pinto beans wake deposits; carefully final accounts above the quickly final hockey players boost slyly furiously
30058,Customer#000030058,rg39ON4bRdiXgmdLK2WhJ78eDggyRli3ot u,0,10-686-592-9378,9801.89,AUTOMOBILE,ding foxes sleep carefully across the fluffily ironic theodolites. bold
30059,Customer#000030059,Ilutruhkap,5,15-856-272-8570,2502.85,BUILDING,s after the ironic accounts are furiously about the sl
30060,Customer#000030060,0 ICwDW7Js0YU kWM0KCT7OQFrkm4m8A,0,10-158-639-8738,-710.05,HOUSEHOLD, quickly bold deposits. unusual a
30061,Customer#000030061,6re6pRPGQMS,0,10-415-781-3165,-921.55,HOUSEHOLD,lyly slyly regular dinos. slyly pending foxes accordi
30062,Customer#000030062,"87UprOVX Hf,OUr6Nx3GpnCsGMTHACNpJ",13,23-952-306-2938,8499.77,BUILDING,s haggle at the silent requests. fu
30063,Customer#000030063,BUJRCDTlmmXV7d5EB2rU,14,24-848-252-6414,7687.68,FURNITURE,"tes among the regular, regular ideas are fluffily unusual, ir"
30064,Customer#000030064,"lu5vu3oumQHyV2x1eDr46GPuO,qw",17,27-526-825-9127,9930.71,HOUSEHOLD,excuses. carefully ironic deposits de
30065,Customer#000030065,6myiDJdlUrFt2N,10,20-936-133-7133,458.10,HOUSEHOLD,"long the furiously final dolphins. furiously regular gifts engage. regular accounts are. pending, ev"
30066,Customer#000030066,EB9VeZLZK8sTGb,10,20-383-417-7720,8246.26,HOUSEHOLD,"osits. dependencies haggle. ironic, special theodolites wake slyly alongside of the furiously"
30067,Customer#000030067,aAFGKD33WOjxFvnv,24,34-361-517-6124,3951.83,FURNITURE,"ic, even deposits. regular foxes are across the blithely ca"
30068,Customer#000030068,GROXdyKolsgYBkPwps2gOXDKMRnQ,4,14-695-680-8214,9462.30,HOUSEHOLD, foxes engage. blithely regular instructions haggle blithely above the even pains. unusual requests are aga
30069,Customer#000030069,XYdjDYB3Ue8QByEwm6,1,11-538-611-8476,4026.43,FURNITURE,es are carefully platelets. even theodolites haggle carefully
30070,Customer#000030070,c3eLz47 Ubz0UUUQqZEheQQ6BrVE,22,32-347-910-8572,9189.46,FURNITURE,"ggle regular, ironic accounts. platelets h"
30071,Customer#000030071,"8VEJKwEu,4spy9V4X5DuZUuKNBI8tjuS",6,16-593-776-9511,5408.81,MACHINERY, carefully pending requests cajole quickly. slyly special requests print furiously blithely ironic excuses. eve
30072,Customer#000030072,"zUe,wqjCxYu8no658",10,20-429-435-1947,-158.58,BUILDING, nag carefully furiously pending packages. regular deposits across the carefully furious requests wake fluf
30073,Customer#000030073,"GTfpr7pFq3,0BNe9T",11,21-840-931-1593,5727.78,HOUSEHOLD,shall cajole carefully against the final requests
30074,Customer#000030074,"Y W2iBIxG,dia",19,29-829-714-4352,3811.88,FURNITURE,instructions are blithely bold theodolites. pending deposits wake slyly regular instructions. furi
30075,Customer#000030075,kwqiDzOqJWhwk1rc1yKSoAAezC6,3,13-475-838-2563,223.81,FURNITURE,"out the sly, pending dolphins. fluffily ironic deposits engage after the furiously"
30076,Customer#000030076,Z M04qnvrCsVV9 Xl7eEQghFUj1qrbKT8ea1,18,28-384-478-4237,8527.38,AUTOMOBILE,leep final deposits. furiously final packages affix. fluffily silent packages wake. bl
30077,Customer#000030077,a9D4kG3U9bO MBiFHN 4ocEYpB Kcb,6,16-420-733-4992,9722.76,BUILDING, packages. quickly final instructions haggle blithely accounts. even requests during the iro
30078,Customer#000030078,M8hHAU5k8clhlkrfjRtTHTPuBuRhi,19,29-148-512-9148,3444.28,MACHINERY,"packages. furiously bold instructions haggle against the furiously special theodolites. final, even multipl"
30079,Customer#000030079,ZUGk8 m2mLx L3GaG48DPqu,22,32-313-457-9545,3916.80,FURNITURE,ld accounts play carefully alongside of the unusual deposits. ironic p
30080,Customer#000030080,ZQcqu  IyNlesIUVvRecRaM9g,4,14-214-576-4578,3624.97,MACHINERY,cies haggle. foxes after the 
30081,Customer#000030081,TGJtjMz2f BsWDEihhjWm4hs1,16,26-608-630-1157,4827.24,MACHINERY,"d the express depths. sheaves wake: final, ironic theodolites cajole. carefully even foxes sleep slyly am"
30082,Customer#000030082,n0AqDEC0HrcNBm2RJ,11,21-399-468-2712,4377.42,BUILDING,ly final foxes haggle furiously a
30083,Customer#000030083,"PSHl8c3MVVUUWBufzuY2WVPxu,jqg5Tc",4,14-555-873-6351,1280.76,BUILDING,even packages haggle furiously according to the fluffily regular pinto beans. furiously regula
30084,Customer#000030084,"oSFR3f4NN9XfPURC,289UBaaw7ZC",10,20-365-863-7387,7613.92,AUTOMOBILE,ckly regular requests are. blithely even foxes nag outside the close dinos. pending packages above the blit
30085,Customer#000030085,6YHkj0nuExK2Ez,14,24-270-512-5793,2204.04,MACHINERY,ily express accounts nag fluffily expr
30086,Customer#000030086,cIIPCrQNe4y7C798,14,24-944-207-1795,4183.40,MACHINERY,"uickly. silent deposits are quickly after the quickly sly theodolites. final deposits sleep pending, regular pint"
30087,Customer#000030087,US7HnK3z74OLC7q4,19,29-242-420-6825,7376.71,BUILDING,. accounts hinder carefully. blithely regular plat
30088,Customer#000030088,qphPcyez4OdDXZKM9vzWsmW9,21,31-227-786-2580,8432.75,AUTOMOBILE,bold packages. ironic foxes wake carefully slyly silent accounts. blithely un
30089,Customer#000030089,WjL0zvKZer,13,23-960-528-4735,3344.12,FURNITURE,unwind. carefully pending requests 
30090,Customer#000030090,"hs5hL6k1HmCr0d2HseHAzIc61,Y8P2 F9vaaB6",2,12-266-443-8447,3553.40,FURNITURE," unusual, final excuses. final packages are blithely. final foxes haggle slyly ironic theod"
30091,Customer#000030091,xWukZngt6QFMNHNkMda,4,14-593-816-4661,929.29,HOUSEHOLD,ate furiously furiously special instructions. regular asymptotes beneath the furiously 
30092,Customer#000030092,Juxg37268DjbjDAbMT3Vy,20,30-154-657-8842,7497.75,MACHINERY," dogged, unusual ideas sleep slyly: furiously ironic packages nod alongside of the express accounts! furiously "
30093,Customer#000030093,tSD4mn7S7s7sFqkSoV,7,17-734-244-6358,7754.78,MACHINERY,the packages. evenly special pinto beans haggle blithely. quickly ironic de
30094,Customer#000030094,4IeJdjeqnCKEtCP,10,20-356-646-1186,4569.59,HOUSEHOLD,nal dependencies haggle fluffily alongside of the packages. pend
30095,Customer#000030095,"stXZhF5lSD9E,2qlE9n8mk0",10,20-245-620-1968,8128.57,HOUSEHOLD,eans. furiously regular ideas alongside of the quickly unusua
30096,Customer#000030096,5Tc OfcoMCs5P7ogFZZGH,4,14-128-985-3845,5989.53,FURNITURE,e slyly deposits-- regularly fina
30097,Customer#000030097,EAZyt0DbycrJOq  Tw5XWIAZbWNVyxvAhZoys7X,18,28-333-756-7728,3049.08,HOUSEHOLD,carefully regular packages. slyly even foxes are never blithely regular deposits. carefully unu
30098,Customer#000030098,g6AgY9ecZcwMhWvq5rT7qT gNFno5v4jG2ZrWq,2,12-817-563-4406,5833.76,MACHINERY,lar asymptotes. regular pinto beans sleep fur
30099,Customer#000030099,"x92a,5PeVzrjd",20,30-325-248-3890,2978.24,HOUSEHOLD,carefully after the even packages. slyly ex
30100,Customer#000030100,XeUQMyh190qMuI00xZGC8lbJdK,2,12-233-246-8086,3253.57,AUTOMOBILE, ironic pinto beans. ironic theodolites wake bold deposits. Tiresias sleep f
30101,Customer#000030101,",YhoUxqFmnrUls04voViXR",20,30-778-825-5885,-207.42,AUTOMOBILE,e evenly against the special excuses. fluffily ironic requests haggle quickly unusual ideas. blithely ironic acc
30102,Customer#000030102,QiVMTca 3W,15,25-140-103-5380,9832.09,AUTOMOBILE,ly slyly bold packages. ironic accounts sleep slyly. pending ideas doze blithely fina
30103,Customer#000030103,",BNVTTrr0nJSM MsOu Muw",7,17-774-610-5770,4017.88,AUTOMOBILE,al instructions detect furiously furiously pending instructions. sly
30104,Customer#000030104,uCTHnkx18cutf7fH90IRsGI2 J,24,34-531-284-7459,8456.25,FURNITURE, pending pinto beans wake slyly after the blithely ironic instructions. slyly ironi
30105,Customer#000030105,g0lblVhOThsP,16,26-597-334-1780,2308.19,BUILDING,"to the slyly regular requests. unusual, silent dependencies wake about the slyly express "
30106,Customer#000030106,"MD,EutnE6B",5,15-752-851-3332,5709.19,AUTOMOBILE,platelets. quickly even theodolites maintain quickly req
30107,Customer#000030107,1NvLTMl7F7,6,16-658-497-2264,-690.22,MACHINERY,lar packages. special deposits cajole blithely across the bold accounts. blithely ironic deposits cajole 
30108,Customer#000030108,"3w5FSrvwadS,nq2b61ks",17,27-343-575-9471,2370.53,BUILDING,hely unusual requests. silent d
30109,Customer#000030109,"c,3WkXf5kyGorJ7tdDpMrpye1G00G",2,12-741-931-4386,8465.01,MACHINERY,"ounts. slyly pending pinto beans play slyly. express, regular frays dazzl"
30110,Customer#000030110,"rC0WiG3Iu6drtaEM0gQUeST,eIlEIGwK,2wYV",15,25-916-624-2326,6483.54,HOUSEHOLD, carefully. theodolites impress slyly against the slyly 
30111,Customer#000030111,"4fynHbWwvomMf,Wc0C6uu6vHpIxqrM",19,29-544-132-9943,839.03,BUILDING,ter the furiously silent depo
30112,Customer#000030112,cK VyFXy54oWyscSMkosspLTSrSCIpV4a,12,22-357-275-2067,8485.57,FURNITURE,deposits are blithely bold pearls. bravely furious foxes above the bol
30113,Customer#000030113,wdC7ebD8aMYZFvsmXTg1pMFpVLggKFE1,11,21-454-118-3887,79.01,BUILDING,sits. furiously silent accounts boost slyly. carefully bold deposits sleep after the even theodolites. b
30114,Customer#000030114,9c8pGVxEQjLG5II,19,29-539-952-1979,5863.35,HOUSEHOLD,"ve the regular, special requests nod blithely silent excuses. quickly sly accounts nag along"
30115,Customer#000030115,"TKGrYSlEYLG,FOcccQvlP8g9q22UHOHZ1Q",13,23-841-534-6806,5338.95,AUTOMOBILE,cuses. quickly ironic asymptotes nag across the pending theodolites. fu
30116,Customer#000030116,UYO9z 81JAJHHGnlhiCkv5,9,19-961-988-2416,2716.66,HOUSEHOLD,use quickly. dolphins nag. final deposits affix slyly. slyly bold depos
30117,Customer#000030117,"HgRbVU6omY0qSk,lMay0jXrVcuQO,5iys5",19,29-938-313-2120,6897.03,MACHINERY,ole quickly near the blithely even deposits. furiously ironic excuses nag fluffily carefully 
30118,Customer#000030118,Aq1C7 OB oLuGaQKQlw7sie7,10,20-856-694-5941,9427.84,BUILDING,cuses are quickly requests. blithely final theodoli
30119,Customer#000030119,5QlR0vNzuZNCu8b,20,30-911-126-9032,7787.78,AUTOMOBILE,ructions are furiously carefully bold foxes. theodolites about the quickly special accounts 
30120,Customer#000030120,"fg2CHnGP0,0zB9",4,14-939-501-8925,9299.77,AUTOMOBILE," the pending, ironic requests. even, final"
30121,Customer#000030121,G9kzeMlR0s,21,31-899-946-9892,277.80,BUILDING,gly. slyly even deposits haggle stealt
30122,Customer#000030122,"bR,8q2QERLa1AywgAfCoYWYHE8v8Yv9H",16,26-115-104-3833,2919.56,AUTOMOBILE,en packages will wake furiously. ruthlessly even packages engage. quickly unusua
30123,Customer#000030123,"j4icRu5BsjAFylVDbp2KAiWytSGa0,vR3R",7,17-474-523-8463,7075.21,BUILDING,ages. slyly regular pinto beans are. slyly bold accounts haggle. even requests boost furiously around 
30124,Customer#000030124,ojojPlD5jdNVv,0,10-703-393-5107,1095.96,MACHINERY,osits among the carefully bold ideas could boost slyly careful requests. express requests doubt 
30125,Customer#000030125,04rix0tR0IL0SrVyJzbFZ,13,23-213-425-7269,3747.15,BUILDING,y bold requests sleep alongside of the quickly regular ideas. fluffily even packages wake fluffily s
30126,Customer#000030126,"WMSVGMjmeMg7u4KJk,",20,30-950-480-2648,1385.48,MACHINERY,use across the furiously final accounts! carefully unusual packages according
30127,Customer#000030127,"TEjBC4,oOXU",9,19-867-827-8614,7780.85,AUTOMOBILE,y according to the slowly pending foxes. blithely quiet somas along the ironic a
30128,Customer#000030128,"jNJaZQnq4Px3AENKOY15n,oe7z",18,28-838-370-3174,2776.01,FURNITURE,cross the never final dugouts sublate bold requests-- blithely even exc
30129,Customer#000030129,"XckYmocg40aHtTs3JQXKVPe,hYcBe",22,32-300-362-5204,3449.87,AUTOMOBILE,gular instructions are. ruthlessly bold deposits are blithely. carefully silent pinto beans boost care
30130,Customer#000030130,nMRBCGppUcn2zYPof0XeZ24zK26CWwvSvn6,5,15-877-489-9219,9963.47,AUTOMOBILE,"totes against the pending, express pinto beans are slyly along the u"
30131,Customer#000030131,X3I6WePyztT1ZbxCmreeFQcMJX1syV,5,15-924-924-7901,1134.56,FURNITURE,", unusual requests sleep furiously even instructions. platelets haggle according to the slyly regula"
30132,Customer#000030132,"mnxNXx8SnSr0tfrKzmaSxU1F,75AoRfquMLVUVDg",7,17-325-861-1637,3477.35,AUTOMOBILE,thely above the carefully ironic deposits. regular foxes w
30133,Customer#000030133,2q1oOlEqpE8oo hDYAYDPwnX6E2D2n,8,18-647-626-2982,9815.99,HOUSEHOLD,aggle slyly final excuses. final acc
30134,Customer#000030134,"CjA6nTi,J15IMKqDKOATTutSgszlvkwM9",20,30-309-575-9604,8442.06,BUILDING,ts haggle after the fluffily even deposits; carefully regular excuses integrate within the 
30135,Customer#000030135,YUYR7zj0WJQBddRqziLoSr,10,20-761-850-6185,5768.64,FURNITURE,ounts. carefully even foxes use slyly fluffily unusual accounts. regular pinto beans use furiously among the theodol
30136,Customer#000030136,A5robj8iMVzCZf qv25w4w2hbYa,21,31-378-687-4677,8515.11,BUILDING,", ironic accounts. express pinto beans sleep "
30137,Customer#000030137,"6LwNGdeQRtAJxiFI6cnCTwOGVf7Z 5,TpOKS31",10,20-254-389-8911,1452.44,AUTOMOBILE,y ironic courts. carefully special somas sleep? regular deposits cajole slyly fluffy foxes? accounts lose? blith
30138,Customer#000030138,"3Cp3JIsqVZdGCStBp,jUsXpJ",23,33-724-919-6785,97.54,BUILDING,"xpress deposits are pinto beans. ironic, regular packages according to the express foxes use furious"
30139,Customer#000030139,"DS7eb6YuPEa5YHllJjsgWCC,UEF ZMWkSeCRrkzL",21,31-806-139-5382,9343.22,FURNITURE,deas use carefully above the blithely ironic requests. carefully bold requests use fluffily against t
30140,Customer#000030140,"iD3huM96ghY2I,pdjxeDaaUaY,ZnDSf1tNbJrG",19,29-547-666-2240,4515.57,AUTOMOBILE,n requests. finally even pinto b
30141,Customer#000030141,c34H6KevrtJhlBtt0vtY,0,10-629-440-4974,2145.48,HOUSEHOLD,out the slyly bold pinto beans impress on the blithely even theodolites. pending platelets cajol
30142,Customer#000030142,"v9,JZ0Bh9ACffGBxj9L V3xrvyM77O",16,26-137-590-2871,-992.07,FURNITURE, slyly silent deposits are above the even requests. quickly special dependencies nag furiously after the sp
30143,Customer#000030143,"FtNxV4N7b,LRGD1k",5,15-359-612-6263,173.15,MACHINERY, pinto beans cajole furiously above th
30144,Customer#000030144,Cw92TrhifXL1t7iP2OnzYFBtZ2RpmgayTsGX5h2J,17,27-254-860-8326,4083.84,MACHINERY,"gular, express pinto beans. special packages along the ironic, regular "
30145,Customer#000030145,"fWEN,Jv2wfy5mKBVK5hrHp X 1SiWtquFlZ",13,23-239-232-2861,6160.23,HOUSEHOLD, deposits. ironic hockey players doubt ab
30146,Customer#000030146,RU4yI2JMQf7EGjOfjTEQDK009fYm3yILE1wQSOYh,19,29-122-532-7630,1005.56,MACHINERY,bold accounts. unusual theodolites wake slyly. regular packages wake ab
30147,Customer#000030147,d6Gy2R1Dzv36U 4W3xdPuvaA9,1,11-743-158-1264,2337.28,AUTOMOBILE,ironic accounts nod furiously furiously regular accounts: care
30148,Customer#000030148,"erc,ttLXnZ39mk",15,25-465-948-5235,-338.60,FURNITURE,lve fluffily regular accounts? quickly even foxes alongside of the
30149,Customer#000030149,I nCDtQBvV54tf,13,23-952-874-9666,5072.50,AUTOMOBILE,pinto beans affix slyly. regular th
30150,Customer#000030150,3BAiuGoEezc9dmrPv l Xnt,19,29-370-443-8398,1473.32,HOUSEHOLD,yly special ideas above the bold accounts cajole care
30151,Customer#000030151,xcRlR0nebz 2SCoaG0CbCz3yM6UWjBF,19,29-695-810-6621,-926.62,FURNITURE,ely silent accounts cajole slyly regular accounts. silent platelets nag carefully special requests. care
30152,Customer#000030152,MnXm0j23890relw2sjZAQrAycKhIker 8ZvLH,14,24-147-509-5068,256.15,FURNITURE,ully across the quickly regular accounts. express theodolites inte
30153,Customer#000030153,bOXTvQbxB 6jD,10,20-855-280-2714,2092.98,AUTOMOBILE,"efully across the even, regular accounts. reg"
30154,Customer#000030154,lEe6HZw6LneC,18,28-184-495-8671,7613.37,BUILDING,ts. final pains are blithely deposits. carefully regular theodolites thrash along the slyly final pinto be
30155,Customer#000030155,NdIcIyn0RW2qBqf7P1s3Cksw,11,21-827-112-7259,3936.01,MACHINERY,pinto beans cajole carefully blithely ironic asymptotes. slyly ironic pinto beans detect about the regu
30156,Customer#000030156,"lJZFHRxQYa7,8PP1INzDyM",1,11-709-495-4613,7476.99,AUTOMOBILE,ng packages use carefully regula
30157,Customer#000030157,"jO4QeUjY,tbn",18,28-851-450-2354,-223.85,FURNITURE,ests x-ray quickly furiously unusual packages. slyly bold packages wake. slyly regular requests cajole furious
30158,Customer#000030158,28Pg4n7ADrquJFY4UNivm6BN0KU9OBEJlI3jl9,17,27-845-446-7552,8653.28,HOUSEHOLD," idly unusual packages. regular, ironic "
30159,Customer#000030159,uWb RXKITo1,5,15-422-996-1563,2717.74,MACHINERY,s. regularly special dolphins are toward
30160,Customer#000030160,"BBwflsIQVr3aJJTC7erQ5YKo,vCepXwRyd5UkkW",15,25-646-362-1658,2990.15,FURNITURE,. ironic asymptotes nag fluffily against the carefully ironic deposits. final depen
30161,Customer#000030161,Gb7y2O76ccNSCrXa E3VCJjokZBM WIqLvRXbP,1,11-306-297-6120,5459.54,FURNITURE,ding to the fluffily silent requests. carefully special deposits cajole t
